year,coop_all,between_group_selection_coeff,within_group_selection_coeff,fst_prosocial_mean,fst_cooperation_propensity,inter_band_violence_rate,cumulative_violence_rate,total_trade_volume,trade_volume,cumulative_trade_volume_per_band,mean_inter_band_trust,band_resource_gini,total_population,condition,seed,is_state,raid_enabled,coop_mean
200,0.4966150976268524,0.11648090350013421,0.07405611960422705,0.124541,0.159815,0.0,0.007407407407407408,0.0,0.0,0.02997282213633819,0.07403333333333333,0.041970140735070105,132.0,A_Free_Raid,42,False,True,0.4966150976268524
200,0.47146988599434114,0.15213504264470928,-0.024534726799899757,0.325923,0.296231,0.0,0.0056179775280898875,0.0,0.0,0.0801569192202979,0.22831666666666664,0.04411291502910908,153.0,A_Free_Raid,137,False,True,0.47146988599434114
200,0.4286161102806341,0.5458386741291716,0.07062227316158562,0.197821,0.191091,0.0,0.01818181818181818,0.0,0.0,0.10146859200258576,0.19884999999999997,0.01656737124080543,207.0,A_Free_Raid,271,False,True,0.4286161102806341
200,0.49294943897839083,-0.14447654671095325,0.12238992262107153,0.264573,0.270389,0.0,0.0392156862745098,0.0,0.0,0.06414893079888648,0.15401666666666666,0.08437687024550611,197.0,B_State_Raid,42,True,True,0.49294943897839083
200,0.5555110107480218,-0.18743027767248369,0.1476709706715503,0.213506,0.018846,0.0,0.006535947712418301,0.0,0.0,0.07787759478511161,0.20631666666666668,0.029192419010995563,190.0,B_State_Raid,137,True,True,0.5555110107480218
200,0.425229031342821,-0.052671649836454976,-0.0036903036596079002,0.395831,0.464451,0.0,0.0125,0.0,0.0,0.07770534996561128,0.21565,0.08092719238862678,249.0,B_State_Raid,271,True,True,0.425229031342821
200,0.4988440609152897,0.1377633346553489,0.04600250415113,0.125888,0.152331,0.0,0.0,0.8898878744046146,0.8898878744046146,0.03032029888141091,0.0988,0.11189847064308567,157.0,C_Free_NoRaid,42,False,False,0.4988440609152897
200,0.47591843294875846,0.5463992453651456,-0.05719842018770404,0.289087,0.537774,0.0,0.0,0.0,0.0,0.09675769217153055,0.2404666666666667,0.03089352147035984,280.0,C_Free_NoRaid,137,False,False,0.47591843294875846
200,0.42782055971678473,-0.10759197232913432,0.10532572032920431,0.222679,0.400745,0.0,0.0,0.0,0.0,0.09022362967945668,0.23978333333333335,0.057360148313112536,158.0,C_Free_NoRaid,271,False,False,0.42782055971678473
200,0.4964965840715032,0.1700428488714138,-0.0846668535359216,0.252208,0.375766,0.0,0.0,0.0,0.0,0.039444010376396145,0.12023333333333334,0.0979756134958063,218.0,D_State_NoRaid,42,True,False,0.4964965840715032
200,0.5036303798445022,0.1158787923624371,-0.05388734097980959,0.372415,0.581627,0.0,0.0,0.0,0.0,0.09633614974803985,0.24736666666666665,0.09060942328422072,195.0,D_State_NoRaid,137,True,False,0.5036303798445022
200,0.4982796555797329,-0.22897036517049568,0.048487459091537136,0.348821,0.444018,0.0,0.0,0.0,0.0,0.11489849519747286,0.30873333333333336,0.08497458865722107,283.0,D_State_NoRaid,271,True,False,0.4982796555797329
