year,coop_Free,coop_State,between_group_selection_coeff,within_group_selection_coeff,fst_prosocial_mean,fst_cooperation_propensity,inter_band_violence_rate,cumulative_violence_rate,total_trade_volume,trade_volume,cumulative_trade_volume_per_band,mean_inter_band_trust,band_resource_gini,total_population,seed
50,0.4726881090009937,0.49717647970914913,-0.023058629514760925,-0.1690318210309799,0.162274,0.078319,0.0,0.02857142857142857,0.0,0.0,0.05287354941356354,0.22148333333333334,0.060931533925086656,170.0,42
100,0.45104851310795624,0.48118042901526276,-0.14161365503416706,0.02362130969113405,0.213736,0.104213,0.0,0.06756756756756757,0.0,0.0,0.056975057615849804,0.12308333333333334,0.0423197205868211,250.0,42
150,0.44209474250503644,0.478530212343377,0.07980276900632166,0.06672470950127382,0.173176,0.10681,0.0,0.06363636363636363,0.0,0.0,0.04762645686737241,0.10148333333333333,0.06024723313368652,288.0,42
200,0.45028634023292047,0.498962957582005,0.0034147123560615,0.06029348831966841,0.133963,0.042962,0.0,0.07142857142857142,0.0,0.0,0.023169730083379605,0.18894000000000002,0.08469662803872224,335.0,42
50,0.49466912360135884,0.5124479804899706,-0.17019607206436638,0.08138679539569656,0.094528,0.08499,0.0,0.0,0.0,0.0,0.060024452336093964,0.26771666666666666,0.10680464193312167,203.0,137
100,0.502457445971509,0.5253395479354284,0.22913592409257605,-0.006303093582737573,0.13016,0.208139,0.0,0.011363636363636364,3.383064287523778,3.383064287523778,0.0831534881584023,0.24388333333333334,0.06131011867721492,242.0,137
150,0.5089232750361192,0.49064577183840125,-0.06943522341902357,0.07890801997130505,0.186875,0.246604,0.0,0.015873015873015872,10.710141463409752,10.710141463409752,0.05521527908838118,0.28795000000000004,0.051367811750230974,299.0,137
200,0.510013266538537,0.5097028770241717,0.16442569291699285,0.022575511435186407,0.191846,0.280872,0.0,0.008620689655172414,0.0,0.0,0.2701707525402547,0.29258,0.030936952887884228,355.0,137
50,0.4681535299378885,0.4501428681986361,-0.4854768511263739,-0.003213406319994269,0.125885,0.051883,0.0,0.0,0.0,0.0,0.10063408912869774,0.30301666666666666,0.10914207623116545,188.0,271
100,0.43968404866709343,0.4592873207578474,0.29945939140196987,-0.14373722063843847,0.197371,0.269568,0.0,0.012345679012345678,0.0,0.0,0.10035261364555528,0.26380000000000003,0.05157509333641386,206.0,271
150,0.4329377262703413,0.4357445830757322,-0.4167479237913574,-0.11590029795057796,0.207099,0.263705,0.0,0.01652892561983471,0.0,0.0,0.10510903323483975,0.24808333333333335,0.10352880564157774,274.0,271
200,0.37416937487584906,0.4405996631183552,-0.017314483271159947,0.08751770516540987,0.269318,0.28841,0.0,0.0106951871657754,0.0,0.0,0.07983027229360759,0.29947,0.08420115694465635,342.0,271
50,0.5223439793176213,0.48912583172907653,0.049978214896601925,-0.009195642530880104,0.26843,0.059944,0.0,0.043478260869565216,0.0,0.0,0.08701322146663734,0.23005,0.07773181244714022,234.0,512
100,0.52271567275363,0.4934182505915087,0.24409362945208107,-0.11148709890386449,0.332931,0.082017,0.0,0.04395604395604396,0.525468813929401,0.525468813929401,0.10676114082145303,0.1951666666666667,0.06576055651874135,210.0,512
150,0.530075505277227,0.48359620941965564,0.4777383373692729,0.05013792277311628,0.33462,0.098522,0.0,0.04132231404958678,1.9119904662566443,1.9119904662566443,0.04734476861133592,0.25371,0.08133315282062181,343.0,512
200,0.5004130742520575,0.5191800963818667,-0.30893040302694263,-0.03383820479891505,0.330961,0.143663,0.0,0.024154589371980676,1.6689675571509284,1.6689675571509284,0.1447067433498515,0.30408,0.1030078678856381,337.0,512
50,0.5413693006106852,0.5248284091295069,0.5145884696424822,0.02736937425769767,0.223865,0.045124,0.0,0.02127659574468085,0.0,0.0,0.05592359841317837,0.23113333333333333,0.0733757436766318,202.0,999
100,0.5740136807495496,0.5204564962104922,0.33639976903611934,0.03386818114654726,0.285198,0.216535,0.0,0.038461538461538464,0.0,0.0,0.05477379468595385,0.1619833333333333,0.08930509733447001,213.0,999
150,0.5866187769228421,0.5075015815177166,-0.34377242737173397,0.02758414542747368,0.293083,0.361645,0.0,0.03669724770642202,0.0,0.0,0.04142262411258199,0.14401666666666665,0.04128763033174199,309.0,999
200,0.5927551083833833,0.510184485407685,-0.4347980463367505,0.09122150919372969,0.304028,0.364307,0.0,0.029197080291970802,0.0,0.0,0.031831224818945354,0.11575,0.05333783669664394,244.0,999
50,0.5240959849745158,0.5053031355584431,-0.06179653369686609,0.0719831416307345,0.184896,0.156062,0.0,0.025,0.0,0.0,0.060640489779547446,0.24150000000000005,0.0659117046460771,198.0,1337
100,0.5498994615393821,0.515331052327471,-0.1268933366223254,-0.06730902643452605,0.245895,0.342082,0.5,0.025,0.0,0.0,0.08967733360853461,0.21363333333333334,0.040490663213494926,249.0,1337
150,0.5610652343918286,0.5127742061291057,-0.04798746029215886,-0.06470129967808032,0.244348,0.379736,0.0,0.01694915254237288,0.0,0.0,0.08736892112908032,0.19701666666666665,0.031198628048284993,322.0,1337
200,0.5610708129741582,nan,-0.06914310140729532,-0.03205741095497364,0.315291,0.429601,0.0,0.012396694214876033,20.4225758765513,20.4225758765513,0.13801064769172375,0.32770666666666665,0.07036538890546429,374.0,1337
