year,population,males,females,births,deaths,infant_deaths,conflicts,bonds_formed,bonds_dissolved,resource_gini,status_gini,reproductive_skew,mating_inequality,unmated_male_pct,unmated_female_pct,elite_repro_advantage,child_survival_rate,pair_bonded_pct,violence_rate,pop_growth_rate,avg_resources,avg_status,avg_health,avg_age,avg_aggression,avg_cooperation,avg_lifespan,scarcity,civilization_stability,social_cohesion,seed,scenario
18,933,451,482,56,28,5,53,41,9,0.4102715546456024,0.16866241625216372,0.5585444708366323,0.590194109772423,0.3132530120481928,0.2422680412371134,1097.2222222222222,0.9180327868852459,0.2797427652733119,0.05680600214362272,0.029801324503311258,9.319988243619777,0.8057257886390016,0.6050950574023606,15.784565916398714,0.5114273115109036,0.503954882576514,33.642857142857146,0.0,0.6840076218710649,0.47848441819673637,42,ELITE_POLYGYNY
19,952,461,491,50,29,3,53,35,11,0.41666217298754593,0.17681608476649902,0.5867601897829811,0.6331366402360317,0.3689839572192513,0.2463768115942029,1082.051282051282,0.9433962264150944,0.28781512605042014,0.05567226890756303,0.020364415862808145,10.407516701333044,0.7995957895982655,0.603981958561036,15.644957983193278,0.5111805983834347,0.5027588070764699,27.379310344827587,0.0,0.682544903415291,0.48224848081378124,42,ELITE_POLYGYNY
20,971,473,498,50,29,7,51,37,11,0.4259443942093104,0.1834133974081391,0.6077823254741452,0.6510108892758226,0.36683417085427134,0.23148148148148148,1065.8536585365853,0.8771929824561403,0.30072090628218334,0.05252317198764161,0.01995798319327731,9.521760535550943,0.7924972687913765,0.609815553795489,15.1956745623069,0.5104188864180577,0.5043201700775166,38.37931034482759,0.0,0.6703907279263155,0.49132642024521883,42,ELITE_POLYGYNY
21,1023,496,527,82,28,7,50,39,8,0.438927355221995,0.20835526887792666,0.6061310178957238,0.6569842984392367,0.3364485981308411,0.23478260869565218,1084.0909090909092,0.9213483146067416,0.31085043988269795,0.04887585532746823,0.053553038105046344,11.166769690378192,0.7675847743462487,0.6226606823082377,14.620723362658847,0.5077043558746009,0.5053713263040093,28.642857142857142,0.0,0.7158653905984887,0.4998513653212127,42,ELITE_POLYGYNY
22,1036,500,536,61,47,9,51,43,13,0.4438837451509807,0.20926061523650774,0.6043167767707804,0.6560752414844941,0.319047619047619,0.21721311475409835,1066.6666666666665,0.8714285714285714,0.3223938223938224,0.04922779922779923,0.01270772238514174,9.872874327093578,0.7641923385538749,0.6314612991483108,14.202702702702704,0.5089239730017083,0.505082980699396,27.893617021276597,0.0,0.6663054907294631,0.5033362810828472,42,ELITE_POLYGYNY
23,1080,522,558,84,36,8,61,47,8,0.46496171463981106,0.22581977329442693,0.5988563742453712,0.6461968818133201,0.2968036529680365,0.2134387351778656,1042.5531914893616,0.9130434782608695,0.32685185185185184,0.05648148148148148,0.04247104247104247,7.624869461221284,0.7458118699357738,0.6416837635571067,13.733333333333333,0.5085138023174348,0.5072904044667461,25.694444444444443,0.0,0.6920451246638533,0.49671245808299475,42,ELITE_POLYGYNY
24,1117,546,571,60,20,6,84,43,12,0.4554694526986709,0.21332511972834234,0.5860646567797827,0.6430644435737813,0.3034188034188034,0.16731517509727625,1038.7755102040817,0.9090909090909091,0.3375111906893465,0.07520143240823635,0.03425925925925926,6.95460374288038,0.7556571389976651,0.6333731517882505,13.88898836168308,0.5084313414694288,0.5070713617528612,20.3,0.0,0.6582626259832998,0.4769556709321203,42,ELITE_POLYGYNY
25,1131,547,584,67,49,6,65,35,12,0.4510794979010173,0.21100512534916227,0.5791118208104957,0.6317767281585125,0.31004366812227074,0.1856060606060606,1022.4489795918367,0.9178082191780822,0.3297966401414677,0.05747126436781609,0.012533572068039392,6.558975610731558,0.7571361716830306,0.6393734202908657,13.695844385499559,0.5079291482883059,0.5086498457315691,23.489795918367346,0.0,0.6650323267518525,0.49704968188237125,42,ELITE_POLYGYNY
26,1164,560,604,71,37,8,91,45,18,0.46728589438320856,0.21190785676519175,0.5747514204545454,0.6187025925506622,0.34710743801652894,0.1925925925925926,966.6666666666666,0.8987341772151899,0.3230240549828179,0.0781786941580756,0.029177718832891247,4.222665778334233,0.7542758234828489,0.6356075113276146,13.458762886597938,0.5081096260201592,0.5087572996270578,27.35135135135135,0.0,0.6415896512703564,0.4688379713972149,42,ELITE_POLYGYNY
27,1160,554,606,43,42,35,105,44,13,0.4540010638379608,0.18806399445167377,0.5653340806449874,0.6228189621797695,0.32926829268292684,0.16044776119402984,986.2745098039215,0.5512820512820513,0.33620689655172414,0.09051724137931035,-0.003436426116838488,3.2650766746703517,0.7761456396941726,0.5972421533208669,13.701724137931034,0.5057980625054656,0.5104451436953185,22.404761904761905,0.6769769764207663,0.5082390463498753,0.4587039195470929,42,ELITE_POLYGYNY
