scenario,resource_gini,resource_gini_std,reproductive_skew,reproductive_skew_std,violence_rate,violence_rate_std,violence_death_frac,violence_death_frac_std,pair_bonded_pct,pair_bonded_pct_std,unmated_male_pct,unmated_male_pct_std,avg_lifetime_births,avg_lifetime_births_std,child_survival,child_survival_std,bond_dissolution,bond_dissolution_std,avg_lifespan,avg_lifespan_std,pop_growth_rate,pop_growth_rate_std,avg_cooperation,avg_cooperation_std,avg_aggression,avg_aggression_std,avg_intelligence,avg_intelligence_std,law_strength,law_strength_std,civilization_stability,civilization_stability_std,social_cohesion,social_cohesion_std,n_survived,n_seeds
FREE_COMPETITION,0.3286718530422458,0.010034672522484942,0.4497267249647532,0.013433639838131301,0.016817560539919178,0.0035456136881865416,0.050472883202229334,0.007060001117761043,0.3659241384982361,0.011146794572495254,0.25050010622812036,0.01865952762301767,3.848749567957616,0.2193902378314139,0.6620945168991219,0.01723300919565424,0.10248087132870395,0.0033059135497791902,18.04982763290655,1.0565223368909233,0.006522110898561563,0.01428281527619658,0.5109931010899743,0.021508630905302188,0.46794304912364,0.010183874385209402,0.5462283620110241,0.0050321693681051665,0.47593981075211095,0.04098101241903686,0.7698090648480178,0.010732647237202015,0.5614487382354734,0.008362100770424092,5,5
ENFORCED_MONOGAMY,0.3289516450026265,0.011060254630045403,0.3876734297710094,0.017498487841439,0.01063194025829593,0.0025041139794830876,0.03109053920188081,0.0029437441146189795,0.4293674845745404,0.0234535800986658,0.08774767104607344,0.024207663155622346,4.084349008440304,0.29979750473401146,0.6899412105501327,0.00825273403164497,0.1087573409489494,0.0029889721288873035,18.592476315957086,1.7742146723160024,0.008247118123191956,0.011796996431475262,0.5114697767699867,0.015796110721952,0.4765592264339415,0.012872261996663789,0.5595073766573889,0.015528359819840217,0.921487594581641,0.01219286096668459,0.7863251471599367,0.009107698390106113,0.5915766049862139,0.010143666991549335,5,5
ELITE_POLYGYNY,0.3792434485117745,0.013455014178915745,0.4660264311903563,0.027252817645179363,0.01981701573210313,0.003433981191365564,0.051550604313084135,0.00611480623376692,0.37405611532329447,0.00821459955325796,0.3077903005650554,0.03862318330578206,3.703042941048875,0.35632385250225995,0.6703541949448256,0.00974915764466221,0.10285183269603049,0.006263465323840093,19.64477782587496,0.9517006440977842,9.247786753203806e-05,0.007435421964330069,0.5086009933608764,0.009928257140526746,0.47255145411207494,0.014490048143208114,0.5623328574094121,0.013080759866049506,0.4589370334423134,0.02249018649129446,0.7431592762910102,0.02102650208203878,0.5595887680423748,0.004512151034909585,5,5
HIGH_FEMALE_CHOICE,0.33255235551703566,0.002472155750244719,0.4794288958117631,0.020026825473763974,0.0175500193077743,0.004310030457034124,0.05099716037311499,0.006599812940291942,0.3646800139784848,0.01966408347528543,0.30678350878958693,0.04492668190568238,3.9849900898686004,0.25490223990942246,0.6670401690570928,0.014193994796569652,0.09857328313824483,0.007780937681632257,17.760909910170778,1.526287084133201,0.007228755436799903,0.012813747842454875,0.525635364449548,0.011307825459921995,0.46022098570629116,0.01679387845366606,0.5593811995523298,0.02383180698408152,0.48546358991515987,0.018803365453185766,0.7686739636822686,0.015483130458856256,0.565954626537571,0.001972894581442064,5,5
RESOURCE_ABUNDANCE,0.31796778134789433,0.011992706263739923,0.45719541527889984,0.013994645109567409,0.015272675436293357,0.001502533603173364,0.042815095894977104,0.0025287875007141756,0.3706147196686242,0.01175153748366642,0.274009744769199,0.019527240246804,3.9448588352870972,0.3337754097657876,0.6862236620476627,0.01505678658426665,0.10340796712887639,0.005575921842474231,18.578847995288758,1.0855192302952172,0.002128666908770845,0.006886403101572878,0.5055395125608768,0.014275963008609479,0.47728189636425844,0.025220461677234407,0.5544203132664067,0.014133616172630876,0.4691014426952428,0.035094960873745994,0.7700682283108071,0.007127828788708556,0.5628401126130026,0.009860030981539078,5,5
RESOURCE_SCARCITY,0.2889097171206922,0.008436581421612908,0.4461480772640279,0.040371644490189755,0.01993916375601737,0.006029913721392052,0.06743710010704011,0.009483275012682542,0.40284520046400696,0.031474267686074385,0.299369301649298,0.037983412862354196,3.1514058595225594,0.25605455689921564,0.5896124715762426,0.025836150852550362,0.10688807692520208,0.007196329198541987,17.91362165433133,2.123014946409538,-0.009000484796715084,0.016738110970880925,0.5364779415601987,0.021348238828688134,0.48655538038853663,0.02009755860101649,0.5709909646173876,0.01611511778445561,0.48319861817006693,0.020129682562254267,0.7246441281634912,0.027807458487912433,0.5806630420914602,0.016256912863855996,5,5
HIGH_VIOLENCE_COST,0.32919290621560415,0.012986171031329818,0.4450262350969667,0.0460436103497694,0.02130208860779593,0.006440716232181675,0.05106712460832541,0.002848477981951846,0.37282019704630986,0.028463485547726337,0.22939493839493844,0.10882952989484738,2.8919252044252044,0.3995014465660327,0.6606494872078703,0.02387541709874166,0.05996665827395797,0.010268363611221316,17.615483504512916,1.6229068105868056,0.019082013189624637,0.011557964379972942,0.5118622376716123,0.09476253169094434,0.5105218904154335,0.07747113730065058,0.52218420120015,0.05382250158529504,0.45068850799980636,0.10791018024805417,0.6914680718094912,0.022733314917886827,0.5586043532751085,0.04176508361776853,5,5
STRONG_PAIR_BONDING,0.3046057274378665,0.013203533196914356,0.4579096474261971,0.0036432224220506984,0.013034397061598368,0.002159462919890318,0.040495589969975994,0.005729885648103047,0.3716873313856044,0.015006060709916676,0.2679408672739492,0.037277107098517906,4.040923685114702,0.34393354076417865,0.6513228910630643,0.018336184280428443,0.09648472438052126,0.0044929413677033,18.220125586833568,0.990793104319993,0.007995813293893799,0.010694069630118229,0.5132691893244092,0.013422976960590298,0.4660786522400612,0.011221755143445776,0.5518817024725965,0.02149196333894719,0.4931128429669105,0.022262543976084945,0.7783945769824177,0.01272693312733656,0.5691052453877272,0.002581602691527337,5,5
STRONG_STATE,0.19746964254013244,0.004608823488209734,0.3862417887790287,0.022335827433706625,0.008550444545555036,0.000842875251363231,0.02322256083262783,0.0037232322630529127,0.4257475226527892,0.014512405020052677,0.11673399540021996,0.042454800117685924,4.092414048202697,0.12981633312495652,0.6728319779280513,0.019029641177648476,0.10711168829213424,0.002309440741919671,18.505885667308895,0.8910844774900711,0.0017376211764641145,0.006885343440714596,0.5121687309317047,0.014596531269545968,0.47931278946776545,0.013261513688613792,0.5522092271150199,0.008139972312136716,0.9809309318342901,0.011465190514367944,0.8039758030398836,0.009374325255220646,0.5931910696192144,0.009106690309057197,5,5
EMERGENT_INSTITUTIONS,0.3327391967615697,0.005245570498700628,0.4632781693280187,0.01774489032035815,0.010254022528499376,0.0017384590835244531,0.047635381220763974,0.0052226704806865335,0.3651508401720114,0.020961534649964232,0.30288826002815694,0.04810598369606387,4.114208122105774,0.17376813878512865,0.6612280846860568,0.005727282629232001,0.10602914854410624,0.004530268823330773,17.984284068467662,1.3536632909292663,0.0034454032579711905,0.013523376528181605,0.5110727893927696,0.01404160364017403,0.47563716567585185,0.01841584763346666,0.5564591809462354,0.009618048630950827,0.8288192318992543,0.03962521607730107,0.780154103889017,0.006828443185439566,0.5694143816566877,0.011900352154402606,5,5
