year,population,males,females,births,deaths,infant_deaths,conflicts,bonds_formed,bonds_dissolved,resource_gini,status_gini,reproductive_skew,mating_inequality,unmated_male_pct,unmated_female_pct,elite_repro_advantage,child_survival_rate,pair_bonded_pct,violence_rate,pop_growth_rate,avg_resources,avg_status,avg_health,avg_age,avg_aggression,avg_cooperation,scarcity,civilization_stability,social_cohesion,seed,scenario
11,895,441,454,57,24,2,47,16,11,0.15176009970035054,0.22543333593787995,0.3603245142620919,0.40620714543486103,0.3128834355828221,0.15151515151515152,818.75,0.9661016949152542,0.28156424581005585,0.05251396648044693,0.03587962962962963,16.671675731922697,0.7342282366094337,0.7506656732424135,17.254748603351956,0.5082949365612045,0.5017701073841508,0.0,0.7605167205692112,0.4836130708866212,42,RESOURCE_ABUNDANCE
12,901,447,454,46,38,4,37,17,18,0.12977187157378278,0.20554050855640682,0.36653849865652166,0.42514233123582046,0.33974358974358976,0.20382165605095542,870.9677419354838,0.92,0.25305216426193117,0.041065482796892344,0.0067039106145251395,16.907855706083623,0.7553161126375518,0.7462348702606475,16.85793562708102,0.5097623223481229,0.5034121785933191,0.0,0.7371091367437197,0.4886012754328881,42,RESOURCE_ABUNDANCE
13,926,461,465,52,27,5,31,14,6,0.13235067148955548,0.20091387818730455,0.3546297369920197,0.419348794144879,0.34459459459459457,0.1895424836601307,926.6666666666667,0.9122807017543859,0.2386609071274298,0.03347732181425486,0.02774694783573807,16.508044871755146,0.7628166806305681,0.74347025481244,16.50863930885529,0.509954319388436,0.5026976830547351,0.0,0.7649301423241557,0.4927637384486759,42,RESOURCE_ABUNDANCE
14,935,462,473,37,23,6,47,16,8,0.11869358637762284,0.18344272166961684,0.35595705551965806,0.41357372531005976,0.35714285714285715,0.2129032258064516,1000.0,0.8604651162790697,0.2267379679144385,0.05026737967914439,0.009719222462203024,15.928288363759641,0.7823358054816755,0.7326544794888661,16.618181818181817,0.5116328262951216,0.5020926326323347,0.0,0.7097064099248951,0.46736111722405693,42,RESOURCE_ABUNDANCE
15,953,466,487,45,26,2,29,14,7,0.12093675598691922,0.18135826409657385,0.43006516696734276,0.48624087760888757,0.39436619718309857,0.28488372093023256,1051.6129032258063,0.9574468085106383,0.2193074501573977,0.030430220356768102,0.019251336898395723,15.224121385334955,0.7862411387385971,0.7328023709121394,16.229800629590766,0.5119991580388226,0.5023123445311353,0.0,0.771676474817129,0.48964476992158323,42,RESOURCE_ABUNDANCE
16,978,480,498,52,24,1,51,28,11,0.12679364052246944,0.1843257956272104,0.48113491934169783,0.5442927914265494,0.39490445859872614,0.3005464480874317,1100.0,0.9811320754716981,0.2280163599182004,0.05214723926380368,0.026232948583420776,14.547643242855198,0.7853844409610714,0.7285113643506881,16.001022494887525,0.5121766981565659,0.5024929872556337,0.0,0.752138834438876,0.465618871793869,42,RESOURCE_ABUNDANCE
17,993,489,504,56,38,3,33,31,12,0.1285909565984258,0.18746424841157472,0.5352548004481708,0.6012912482065997,0.4,0.3020833333333333,1130.5555555555554,0.9491525423728814,0.23766364551863042,0.03323262839879154,0.015337423312883436,13.877535566208538,0.7836226953041188,0.7294226841748008,15.617321248741188,0.5134636947569734,0.5010835824079064,0.0,0.7627079718160258,0.4920749233961938,42,RESOURCE_ABUNDANCE
18,1017,514,503,60,34,2,57,35,7,0.1352031488050307,0.19315494586219661,0.5562639376476564,0.6304445948995712,0.3901098901098901,0.24210526315789474,1181.081081081081,0.967741935483871,0.25073746312684364,0.05604719764011799,0.02416918429003021,13.268817145239197,0.7786225938542203,0.7271121274457095,15.333333333333334,0.5120893031631981,0.5009125604195611,0.0,0.7426038614088413,0.46806413921207224,42,RESOURCE_ABUNDANCE
19,1034,524,510,52,35,2,34,29,12,0.13181564376524646,0.19072858873605014,0.5886053600639922,0.6619992417540757,0.41968911917098445,0.22279792746113988,1218.421052631579,0.9629629629629629,0.25338491295938104,0.03288201160541586,0.01671583087512291,12.18277073218121,0.7808704040986733,0.7317666298289714,14.904255319148936,0.5117008478357188,0.4998079661903827,0.0,0.7697781623985976,0.4975053915051666,42,RESOURCE_ABUNDANCE
20,1081,551,530,75,27,3,49,33,11,0.14747928188011672,0.20469846538140657,0.571917333210042,0.6289948940998489,0.3333333333333333,0.19487179487179487,1265.7894736842104,0.9615384615384616,0.26364477335800185,0.045328399629972246,0.045454545454545456,11.438989719195963,0.7675950589403676,0.7373717155854322,14.333024976873265,0.5108882929196286,0.4998234329675309,0.0,0.7778974210218794,0.48554454432484767,42,RESOURCE_ABUNDANCE
21,1133,578,555,83,30,3,48,25,5,0.16260401020306214,0.21692879598489734,0.5925103212733616,0.6338914601736139,0.3886255924170616,0.2175925925925926,1278.5714285714287,0.9651162790697675,0.26301853486319504,0.04236540158870256,0.04810360777058279,9.931215666703084,0.7551873031688484,0.7415875219764593,13.916151809355693,0.5092017210617483,0.5003292208208594,0.0,0.7827665533438377,0.4892314235445838,42,RESOURCE_ABUNDANCE
22,1176,598,578,83,39,3,44,42,9,0.16245626295561744,0.22228847767509285,0.6011326669878527,0.6412296845434045,0.39461883408071746,0.20175438596491227,1291.111111111111,0.9651162790697675,0.2695578231292517,0.03741496598639456,0.03795233892321271,9.480149729032789,0.7488565372286093,0.7454483322553421,13.576530612244898,0.5092720279499565,0.501538462288686,0.0,0.7810513805893271,0.49819191552771935,42,RESOURCE_ABUNDANCE
23,1221,615,606,80,32,6,40,44,12,0.15152820737424477,0.2181814454739326,0.5945462413452027,0.628866893713637,0.3577586206896552,0.2056451612903226,1297.9166666666665,0.9302325581395349,0.2833742833742834,0.03276003276003276,0.03826530612244898,9.65471812697033,0.7522513275226582,0.7459229543434533,13.531531531531531,0.5090409650875806,0.5022790773666119,0.0,0.783883897548577,0.509142589177603,42,RESOURCE_ABUNDANCE
24,1258,632,626,71,32,12,56,46,12,0.14366739835118492,0.21004804263346766,0.5975328992180475,0.6288135504449253,0.3076923076923077,0.18007662835249041,1306.0,0.8554216867469879,0.30604133545310014,0.04451510333863275,0.030303030303030304,9.368586792086596,0.7588753534891887,0.7448492211113832,13.437996820349762,0.5086491785587549,0.5018214739519475,0.0,0.7445585176295563,0.5021991778160732,42,RESOURCE_ABUNDANCE
25,1318,668,650,99,35,8,54,40,11,0.15551749172258789,0.2162686232725628,0.5802054620352946,0.6219484020023103,0.3283018867924528,0.12452830188679245,1305.6603773584905,0.9252336448598131,0.3110773899848255,0.0409711684370258,0.04769475357710652,9.00365027197041,0.7542385084663193,0.7456077212920722,13.340667678300456,0.5088224928631648,0.5017342329937691,0.0,0.7831045222897274,0.5083568191459142,42,RESOURCE_ABUNDANCE
26,1378,702,676,107,38,7,68,37,16,0.16762225706585787,0.22412988517511612,0.5575553946634086,0.6010884993728132,0.34558823529411764,0.1198501872659176,1320.754716981132,0.9385964912280702,0.2997097242380261,0.04934687953555878,0.04552352048558422,8.23752456027296,0.7465662251526625,0.7460843198310932,13.203193033381712,0.5079369409705553,0.501469753105017,0.0,0.7675843312117959,0.49380270530586745,42,RESOURCE_ABUNDANCE
27,1433,734,699,99,41,10,63,39,17,0.15511780994292423,0.22386221268466766,0.5516908690811766,0.595568783068783,0.3888888888888889,0.14233576642335766,1296.4285714285713,0.908256880733945,0.2868108862526169,0.04396371249127704,0.03991291727140784,8.748728489910901,0.7459506957937649,0.7459821638574913,13.116538729937195,0.5083751256269454,0.4996389751331052,0.0,0.7630296396672861,0.4952847596275617,42,RESOURCE_ABUNDANCE
28,1478,765,713,98,51,13,71,39,17,0.15025877628151108,0.22043316410097358,0.5347524991018753,0.5773849257289565,0.3693379790940767,0.12773722627737227,1258.9285714285713,0.8828828828828829,0.28416779431664413,0.04803788903924222,0.0314026517794836,8.796627866602234,0.7481748725260302,0.7478229002997415,12.942489851150203,0.5075313025964169,0.49997223398868945,0.0,0.7426399528325353,0.4894002603072485,42,RESOURCE_ABUNDANCE
29,1545,810,735,106,36,11,61,42,17,0.14943069563725708,0.2199633720056131,0.5213767697753153,0.5661690830634258,0.3745704467353952,0.14035087719298245,1247.3684210526314,0.905982905982906,0.27637540453074433,0.039482200647249194,0.04533152909336942,8.912910674479843,0.7485875491979744,0.7488640149824266,12.87443365695793,0.5081324048994053,0.4986425514261069,0.0,0.7741741261703824,0.4968356613471418,42,RESOURCE_ABUNDANCE
30,1619,834,785,115,37,7,56,49,15,0.1520328305413321,0.22174883994823325,0.5140455490912608,0.5568142079232654,0.3547297297297297,0.1610738255033557,1247.457627118644,0.9426229508196722,0.272390364422483,0.034589252625077206,0.04789644012944984,9.094190241705698,0.7469092088836302,0.7519752224852926,12.812847436689314,0.5093151940781632,0.4993957967297682,0.0,0.7921202874518581,0.5018583804584298,42,RESOURCE_ABUNDANCE
31,1674,853,821,114,56,6,69,44,15,0.15421247647984804,0.2206014564525185,0.5097417017574339,0.5556478080254057,0.369281045751634,0.1461794019933555,1288.3333333333333,0.95,0.26881720430107525,0.04121863799283154,0.033971587399629403,8.614372534374741,0.7476996926122969,0.7519175148872993,12.869772998805256,0.5097075508983895,0.5000929381017785,0.0,0.7691237157595737,0.4925998992550483,42,RESOURCE_ABUNDANCE
32,1720,872,848,95,48,6,66,43,17,0.14022235436579455,0.20947749096124224,0.5158750041970035,0.5678544110147883,0.42138364779874216,0.14285714285714285,1250.0,0.9405940594059405,0.26046511627906976,0.03837209302325582,0.027479091995221028,8.73183637118765,0.758356319704954,0.75028263720095,13.000581395348837,0.5098287027560262,0.49938656593830666,0.0,0.766094763880524,0.4929523007939274,42,RESOURCE_ABUNDANCE
33,1786,902,884,122,52,13,69,46,16,0.1480770909385707,0.2125117954260589,0.5145507696966392,0.5634280802995888,0.4123076923076923,0.16666666666666666,1246.031746031746,0.9037037037037037,0.2525195968645017,0.03863381858902576,0.03837209302325582,8.686945313882402,0.7562201203471483,0.7512169647008399,12.965845464725644,0.5096805758280912,0.49885215579335984,0.0,0.7646098124076042,0.4896304479836373,42,RESOURCE_ABUNDANCE
34,1852,915,937,118,50,3,86,44,12,0.14611996464269272,0.21046403008759662,0.5228652312841848,0.5717545527002503,0.42136498516320475,0.1686746987951807,1231.8181818181818,0.9752066115702479,0.2543196544276458,0.04643628509719223,0.036954087346024636,8.683876898666862,0.7594794423395972,0.7496656438794596,13.025377969762419,0.5092750940921293,0.4994949872660181,0.0,0.7700252678284066,0.480764517584593,42,RESOURCE_ABUNDANCE
35,1922,948,974,123,50,8,80,51,11,0.1424059150660968,0.20892596013485742,0.5240260703562885,0.5755231621317958,0.39660056657223797,0.17052023121387283,1242.0289855072463,0.9389312977099237,0.2601456815816857,0.04162330905306972,0.03779697624190065,8.977580768565815,0.7618000445594697,0.7487740192817856,13.09417273673257,0.5094935637889451,0.4986965528916546,0.0,0.7706355063138104,0.48850047339391467,42,RESOURCE_ABUNDANCE
36,2008,991,1017,137,45,9,91,51,18,0.14549374697315032,0.2112748764605512,0.530569584852598,0.5828329887433954,0.4106666666666667,0.16804407713498623,1249.3150684931506,0.9383561643835616,0.2604581673306773,0.045318725099601595,0.044745057232049947,9.10779442049,0.7602759067937774,0.7467943788385019,13.132470119521912,0.5089735142146379,0.49936385169172043,0.0,0.7713259863835095,0.4842574928679232,42,RESOURCE_ABUNDANCE
37,2083,1029,1054,130,49,9,101,57,16,0.14503000912045483,0.2076567753843075,0.5300127083974073,0.5816028591176521,0.3769230769230769,0.16494845360824742,1242.857142857143,0.935251798561151,0.27220355256841094,0.048487758041286605,0.037350597609561755,8.790966420476542,0.7646643006318895,0.7422617280084518,13.314930388862217,0.5091251237157114,0.499923398943382,0.0,0.7602564412490903,0.48463090542468834,42,RESOURCE_ABUNDANCE
38,2147,1055,1092,131,64,5,98,63,21,0.1430648461190942,0.205813080383473,0.5316375466357655,0.5876642338202365,0.37844611528822053,0.16129032258064516,1233.75,0.9632352941176471,0.2729389846297159,0.04564508616674429,0.030724915986557848,8.623198557800558,0.7664992454170828,0.7397522310294339,13.425244527247322,0.508208589856423,0.4991315612920168,0.0,0.7653939887364918,0.48812491142877695,42,RESOURCE_ABUNDANCE
39,2259,1115,1144,159,43,5,103,67,20,0.14847909353787037,0.2130588611131441,0.538104845723032,0.6001308768750628,0.39069767441860465,0.1619047619047619,1248.235294117647,0.9695121951219512,0.2718016821602479,0.045595396193005754,0.05216581276199348,8.932650205046723,0.7602388783114661,0.7394901257784636,13.372731297034086,0.5080618889348657,0.499685125182206,0.0,0.7850593881074422,0.488010393587712,42,RESOURCE_ABUNDANCE
40,2353,1167,1186,153,56,11,102,60,23,0.14533470684356353,0.2120674207605353,0.5468526671396554,0.6189833668612925,0.4279475982532751,0.15560640732265446,1280.8988764044943,0.9329268292682927,0.2681682957926052,0.04334891627709307,0.04161133244798584,9.296324984583551,0.7612225083987255,0.7378831384519512,13.46366340841479,0.5080040968237459,0.49946277807169875,0.0,0.7709779683495974,0.48945786940972497,42,RESOURCE_ABUNDANCE
41,2453,1216,1237,155,52,14,106,67,26,0.14464583207429138,0.21028350995273692,0.5530383967883967,0.6257503082837661,0.4364754098360656,0.16294642857142858,1284.9462365591398,0.9171597633136095,0.26498165511618427,0.04321239298817774,0.042498937526561836,9.134593092945673,0.7620169088745524,0.7391946026243135,13.440684875662454,0.5083303557607906,0.4993614104105144,0.0,0.7677883707252668,0.4884726522196481,42,RESOURCE_ABUNDANCE
42,2534,1255,1279,162,76,10,82,65,19,0.14397802155823713,0.21042886096317726,0.5593584969348535,0.6325746860400325,0.45742574257425744,0.1468682505399568,1314.5833333333333,0.9418604651162791,0.26400947119179163,0.03235990528808208,0.033020790868324504,9.059916937862303,0.7621170415578276,0.7411261161733551,13.447908445146014,0.5066930205247298,0.49976989878973366,0.0,0.7807518655823924,0.5018613928229179,42,RESOURCE_ABUNDANCE
43,2618,1290,1328,143,57,9,88,66,20,0.13379882591380166,0.2019858031758981,0.5624859644604687,0.6450047385678881,0.44801512287334594,0.13800424628450106,1318.0,0.9407894736842105,0.2666157372039725,0.03361344537815126,0.03314917127071823,9.138962345209258,0.7697925600000985,0.7402710752680952,13.558823529411764,0.5073809945299307,0.499943579557519,0.0,0.7811589670223795,0.5012761331217089,42,RESOURCE_ABUNDANCE
44,2675,1317,1358,139,77,16,109,60,24,0.13036157517687963,0.19500773009508232,0.5785943134212379,0.6526676193878767,0.44814814814814813,0.17729083665338646,1314.423076923077,0.896774193548387,0.2657943925233645,0.04074766355140187,0.021772345301757066,8.985747767145103,0.7767119659110481,0.7398898220979216,13.65570093457944,0.5071225714433681,0.4999598535509929,0.0,0.7486412422048797,0.49207739936432243,42,RESOURCE_ABUNDANCE
45,2754,1358,1396,165,75,10,110,80,24,0.13420010587119346,0.19620003917999096,0.5835581838172557,0.6513678109411556,0.4254937163375224,0.19056603773584907,1299.0740740740741,0.9428571428571428,0.2719680464778504,0.03994190268700073,0.029532710280373832,9.144182933266611,0.7766326377556636,0.7390621419221572,13.722585330428467,0.5071369567070286,0.500112674371174,0.0,0.7692893277615973,0.4953065076569664,42,RESOURCE_ABUNDANCE
46,2825,1400,1425,149,73,22,119,96,31,0.16037640050599866,0.19423328189334033,0.5766696174562118,0.6437434916114102,0.4052173913043478,0.155893536121673,1281.8181818181818,0.8713450292397661,0.27823008849557523,0.04212389380530973,0.02578068264342774,6.1013962070259105,0.778722488706315,0.7373209261721905,13.775929203539823,0.5076649480953808,0.5001935873292058,0.0,0.7400903324185413,0.49480309864849653,42,RESOURCE_ABUNDANCE
