year,coop_Free,coop_State,between_group_selection_coeff,demographic_selection_coeff,raid_selection_coeff,within_group_selection_coeff,fst_prosocial_mean,fst_cooperation_propensity,inter_band_violence_rate,cumulative_violence_rate,total_trade_volume,trade_volume,cumulative_trade_volume_per_band,mean_inter_band_trust,band_resource_gini,total_population,seed,fission_threshold,n_bands
100,0.4846889539917948,0.4722465932790437,0.0,-0.4321391328084587,0.4321391328084587,-0.07670834305634583,0.258354,0.278674,0.0,0.039473684210526314,3.995108633942662,3.995108633942662,0.07981817873827589,0.2051333333333333,0.0829729115376674,140.0,42,75,4
200,0.4869421740087734,0.4434222243840349,0.27747350095693213,0.3840144952285236,0.17093250668534066,0.02663673692590337,0.40045,0.46035,0.0,0.033112582781456956,1.3927092935774659,1.3927092935774659,0.04905999859314442,0.24479,0.08499489470940724,217.0,42,75,5
100,0.5025674592455965,0.4681395864200421,-0.04058068111931351,-0.503832742780512,0.422671380541885,-0.06957426767767684,0.134215,0.121798,0.0,0.007874015748031496,20.66985691057332,20.66985691057332,0.5359010782389225,0.33904,0.1226805274423437,243.0,137,75,6
200,nan,0.48814918438293975,0.17184119702146816,0.03862122194847181,0.3050611720944645,0.0033661183541871783,0.241747,0.321876,0.0,0.008174386920980926,10.119848461712989,10.119848461712989,0.3542360069879467,0.3587416666666667,0.047843014931095995,397.0,137,75,9
100,0.43621840479359963,0.4617539422807301,0.02424163836660037,0.09510188173762131,-0.04661860500442057,-0.05647652489209566,0.157018,0.259914,0.0,0.03488372093023256,0.0,0.0,0.10152392549321688,0.21358333333333332,0.061680592143462665,205.0,271,75,4
200,0.3347421992030587,0.5470168797527446,0.06042444241043476,-0.11035970042304023,0.23120858524390975,0.0113304831707495,0.380972,0.449438,0.0,0.01443298969072165,25.393121353518772,25.393121353518772,0.1265705165682525,0.3166333333333333,0.10745296287757533,339.0,271,75,10
100,0.4846889539917948,0.4722465932790437,0.0,-0.4321391328084587,0.4321391328084587,-0.07670834305634583,0.258354,0.278674,0.0,0.039473684210526314,3.995108633942662,3.995108633942662,0.07981817873827589,0.2051333333333333,0.0829729115376674,140.0,42,150,4
200,0.49349588282416434,0.4928512533408052,0.15237088586954933,0.1603851360479502,0.14435663569114848,-0.03266395828238182,0.382747,0.432037,0.0,0.027972027972027972,0.0,0.0,0.06021494484255501,0.15285,0.05481151073503687,212.0,42,150,4
100,0.5347074024980129,0.523225576434693,0.0016176432475472624,0.003235286495094525,0.0,-0.01538514049284043,0.182328,0.018142,0.0,0.0,0.0,0.0,0.04910978477384605,0.2359,0.04207831844198795,275.0,137,150,4
200,0.5381150171592384,0.523934195240255,0.030679718155382105,0.06135943631076421,0.0,0.10369691571670679,0.127459,0.025002,0.0,0.00625,0.0,0.0,0.06541726831697436,0.17901666666666669,0.042915545710167535,199.0,137,150,4
100,0.43621840479359963,0.4617539422807301,0.02424163836660037,0.09510188173762131,-0.04661860500442057,-0.05647652489209566,0.157018,0.259914,0.0,0.03488372093023256,0.0,0.0,0.10152392549321688,0.21358333333333332,0.061680592143462665,205.0,271,150,4
200,0.4000907927265644,0.4539891418178666,0.008531578366409658,0.017063156732819315,0.0,0.12024983697498953,0.189498,0.314306,0.0,0.024691358024691357,0.0,0.0,0.07021530861213975,0.15305000000000002,0.09865127531230677,267.0,271,150,4
100,0.4846889539917948,0.4722465932790437,0.0,-0.4321391328084587,0.4321391328084587,-0.07670834305634583,0.258354,0.278674,0.0,0.039473684210526314,3.995108633942662,3.995108633942662,0.07981817873827589,0.2051333333333333,0.0829729115376674,140.0,42,300,4
200,0.49349588282416434,0.4928512533408052,0.15237088586954933,0.1603851360479502,0.14435663569114848,-0.03266395828238182,0.382747,0.432037,0.0,0.027972027972027972,0.0,0.0,0.06021494484255501,0.15285,0.05481151073503687,212.0,42,300,4
100,0.5347074024980129,0.523225576434693,0.0016176432475472624,0.003235286495094525,0.0,-0.01538514049284043,0.182328,0.018142,0.0,0.0,0.0,0.0,0.04910978477384605,0.2359,0.04207831844198795,275.0,137,300,4
200,0.5381150171592384,0.523934195240255,0.030679718155382105,0.06135943631076421,0.0,0.10369691571670679,0.127459,0.025002,0.0,0.00625,0.0,0.0,0.06541726831697436,0.17901666666666669,0.042915545710167535,199.0,137,300,4
100,0.43621840479359963,0.4617539422807301,0.02424163836660037,0.09510188173762131,-0.04661860500442057,-0.05647652489209566,0.157018,0.259914,0.0,0.03488372093023256,0.0,0.0,0.10152392549321688,0.21358333333333332,0.061680592143462665,205.0,271,300,4
200,0.4000907927265644,0.4539891418178666,0.008531578366409658,0.017063156732819315,0.0,0.12024983697498953,0.189498,0.314306,0.0,0.024691358024691357,0.0,0.0,0.07021530861213975,0.15305000000000002,0.09865127531230677,267.0,271,300,4
