year,coop_Free,coop_State,between_group_selection_coeff,demographic_selection_coeff,raid_selection_coeff,within_group_selection_coeff,fst_prosocial_mean,fst_cooperation_propensity,inter_band_violence_rate,cumulative_violence_rate,total_trade_volume,trade_volume,cumulative_trade_volume_per_band,mean_inter_band_trust,band_resource_gini,total_population,seed
50,0.48196175944841924,0.48913687639911996,0.07607869254519908,0.22119710060069955,-0.06903971551030137,0.0007130356714790953,0.111878,0.071715,0.0,0.02702702702702703,0.0,0.0,0.07917653667237219,0.23193333333333332,0.05543074946266602,155.0,42
100,0.4846889539917948,0.4722465932790437,0.0,-0.4321391328084587,0.4321391328084587,-0.07670834305634583,0.258354,0.278674,0.0,0.039473684210526314,3.995108633942662,3.995108633942662,0.07981817873827589,0.2051333333333333,0.0829729115376674,140.0,42
150,0.48943805822774367,0.49888457734695246,-0.013039255394541552,-0.026078510789083104,0.0,-0.12563153140988761,0.388743,0.494159,0.0,0.027777777777777776,0.0,0.0,0.06505280945636513,0.1671,0.0853191649105316,156.0,42
200,0.49349588282416434,0.4928512533408052,0.15237088586954933,0.1603851360479502,0.14435663569114848,-0.03266395828238182,0.382747,0.432037,0.0,0.027972027972027972,0.0,0.0,0.06021494484255501,0.15285,0.05481151073503687,212.0,42
250,0.5061917840475039,0.43734736003114527,-0.3250316607206951,-0.30059622344642667,-0.34946709799496356,0.046214764813377066,0.402148,0.648102,0.0,0.034482758620689655,0.0,0.0,0.03684457580825611,0.21065,0.06113972633649434,313.0,42
300,0.5189619682670203,0.46850535253449727,-0.18381482503085356,0.16792625427956628,-0.5355559043412734,-0.06445732245249626,0.38149,0.512608,0.0,0.035856573705179286,0.0,0.0,0.05657186182088911,0.21262,0.04306931798947766,377.0,42
350,0.6663682823121213,0.4854386153128567,0.06902124542070706,-0.33385293242598435,0.4718954232673985,-0.06715330049090659,0.434872,0.677256,0.3333333333333333,0.024390243902439025,11.089696945433499,11.089696945433499,0.1609290672079953,0.28274285714285713,0.07110501264261893,400.0,42
400,0.6682843264127947,0.47393973145080653,-0.02490322753659094,-0.34682051561340443,0.29701406054022256,0.020010914438693028,0.472382,0.675729,0.0,0.01906158357771261,23.763098729436106,23.763098729436106,0.24332111445410276,0.26862857142857144,0.04106640742263701,644.0,42
450,0.6703322255451761,0.46262279855810734,-0.258084711400292,-0.3674192775338402,-0.14875014526674385,0.0023427915483432774,0.473488,0.718982,0.0,0.01768990634755463,33.096761031614676,33.096761031614676,0.23502657113699532,0.2858416666666666,0.08128397094572559,776.0,42
500,0.6741894597926243,nan,-0.0022337116909409635,-0.0455943161580501,0.04112689277616817,-0.002464350286300237,0.425807,0.660109,0.0,0.014830508474576272,74.36351113432568,74.36351113432568,0.21225537234439568,0.3130890909090909,0.07700928509361527,969.0,42
50,0.5111915265321154,0.5272349316150955,-0.1829441205241574,-0.3658882410483148,0.0,0.04260823181120901,0.079598,0.031231,0.0,0.0,0.0,0.0,0.046297755010421326,0.25594999999999996,0.04831238797526427,235.0,137
100,0.5347074024980129,0.523225576434693,0.0016176432475472624,0.003235286495094525,0.0,-0.01538514049284043,0.182328,0.018142,0.0,0.0,0.0,0.0,0.04910978477384605,0.2359,0.04207831844198795,275.0,137
150,0.5237456589326499,0.522105077464572,0.03727068373154778,0.07454136746309556,0.0,-0.16278873253372145,0.12077,0.002327,0.0,0.008333333333333333,0.0,0.0,0.05838527746871691,0.1847,0.12329364589641645,332.0,137
200,0.5381150171592384,0.523934195240255,0.030679718155382105,0.06135943631076421,0.0,0.10369691571670679,0.127459,0.025002,0.0,0.00625,0.0,0.0,0.06541726831697436,0.17901666666666669,0.042915545710167535,199.0,137
250,0.5553094608820686,0.5513987152631685,-0.0076318257515325255,-0.015263651503065051,0.0,-0.06463527752154923,0.123536,0.073025,0.0,0.005025125628140704,0.0,0.0,0.06505675066184068,0.15913333333333332,0.020866255178027204,275.0,137
300,0.5571709602523425,0.589992153183094,-0.010851960455974159,-0.021703920911948317,0.0,0.056357457611689823,0.203632,0.138848,0.0,0.008130081300813009,1.3614588305561617,1.3614588305561617,0.05034251419200235,0.22480000000000003,0.054172455984673684,252.0,137
350,0.616467679886703,0.5674615040557923,-0.04548364087816116,-0.06724155745575187,-0.023725724300570447,-0.11498546736611548,0.306132,0.258796,0.0,0.01834862385321101,0.0,0.0,0.10947691299946234,0.20543,0.0576717079660789,295.0,137
400,0.6143436526853889,0.5495130632850672,-0.01206541140968228,0.1062361727961132,-0.13036699561547777,-0.008919227917546204,0.329902,0.287498,0.0,0.015873015873015872,0.0,0.0,0.23581563558203436,0.17603,0.058296930695682425,332.0,137
450,0.616201099441613,nan,0.13150850423445837,0.17115631827170172,0.091860690197215,-0.03683663766943964,0.321894,0.248314,0.25,0.019891500904159132,0.0,0.0,0.21802757102847273,0.21298,0.07880792588200225,427.0,137
500,0.6268919203598837,nan,-0.15402047153107912,-0.1771696552096193,-0.13087128785253896,0.1067259876681796,0.269705,0.277242,0.0,0.023088023088023088,20.21261803932704,20.21261803932704,0.28378334630945323,0.19082,0.10022153943694034,525.0,137
50,0.46309148806018563,0.44269492156384393,0.16715499632793185,0.3343099926558637,0.0,0.06536557876130844,0.125822,0.06643,0.0,0.0,0.0,0.0,0.09937392715206746,0.30246666666666666,0.08577239368439349,214.0,271
100,0.43621840479359963,0.4617539422807301,0.02424163836660037,0.09510188173762131,-0.04661860500442057,-0.05647652489209566,0.157018,0.259914,0.0,0.03488372093023256,0.0,0.0,0.10152392549321688,0.21358333333333332,0.061680592143462665,205.0,271
150,0.4188003387066843,0.48851276280278366,0.05973571587570899,0.2386433720245931,-0.11917194027317511,0.15269801983489667,0.157705,0.361798,0.0,0.03225806451612903,0.0,0.0,0.08004238558001854,0.1860166666666667,0.0662268760376532,265.0,271
200,0.4000907927265644,0.4539891418178666,0.008531578366409658,0.017063156732819315,0.0,0.12024983697498953,0.189498,0.314306,0.0,0.024691358024691357,0.0,0.0,0.07021530861213975,0.15305000000000002,0.09865127531230677,267.0,271
250,0.37900254538205963,0.45633725201365954,0.0005715491908682736,0.0011430983817365473,0.0,-0.009443555391859475,0.268243,0.341836,0.0,0.032432432432432434,0.0,0.0,0.0637750916841867,0.0914,0.06881968285642204,285.0,271
300,0.3826238343084486,0.45545252941795034,0.12822713008215947,0.2679622163524805,-0.011507956188161583,0.12820019409935285,0.274831,0.313325,0.0,0.035555555555555556,0.0,0.0,0.05956225917416012,0.052616666666666666,0.07878507297885573,289.0,271
350,0.3201259996430863,0.45814529935069626,0.26298213666977693,0.224276149941526,0.30168812339802786,-0.009480720277582412,0.236843,0.306655,0.0,0.032679738562091505,0.0,0.0,0.09244827781635404,0.21065,0.06569811116503965,332.0,271
400,0.361991261010502,0.45775330528543257,-0.013886520288067347,-0.027773040576134694,0.0,-0.03817248971660521,0.235311,0.351038,0.0,0.024154589371980676,15.365643373546824,15.365643373546824,0.1248698791387615,0.24381333333333333,0.060166674275715426,443.0,271
450,0.3258451985231745,0.5135322786498009,0.10720518346101449,0.21441036692202897,0.0,0.06114979501726976,0.245548,0.412918,0.0,0.02023608768971332,3.1106731215830026,3.1106731215830026,0.16749793651370257,0.29169523809523806,0.08314660608044577,526.0,271
500,0.32327325430563214,0.5312229098707202,0.010420837565982114,-0.009124814363138847,0.029966489495103076,-0.022586782396374794,0.27307,0.483132,0.0,0.019721577726218097,17.93744306832881,17.93744306832881,0.21096227454312486,0.31095,0.09208331741420084,674.0,271
