year,coop_all,between_group_selection_coeff,demographic_selection_coeff,raid_selection_coeff,within_group_selection_coeff,fst_prosocial_mean,fst_cooperation_propensity,inter_band_violence_rate,cumulative_violence_rate,total_trade_volume,trade_volume,cumulative_trade_volume_per_band,mean_inter_band_trust,band_resource_gini,total_population,condition,seed,is_state,raid_enabled,coop_mean
200,0.4547659057816786,-0.06152392394638526,-0.024516316843979036,-0.09853153104879149,-0.045840664192361914,0.356571,0.455814,0.0,0.034653465346534656,0.0,0.0,0.18924525616961363,0.18738,0.046761381125358215,199.0,A_Free_Raid,42,False,True,0.4547659057816786
200,0.5568028610071076,0.08104547007354462,0.22633134549199574,-0.06424040534490648,-0.02282558017679889,0.307734,0.429899,0.0,0.009216589861751152,0.0,0.0,0.1103816227382676,0.3820666666666667,0.06502042940282804,407.0,A_Free_Raid,137,False,True,0.5568028610071076
200,0.5067535454521961,-0.01963957772607186,-0.39766260358123734,0.3583834481290936,0.02900747171779255,0.242274,0.363581,0.0,0.025,0.0,0.0,0.08944095268823413,0.18653333333333333,0.013691623457497748,167.0,A_Free_Raid,271,False,True,0.5067535454521961
200,0.46462970535828396,-0.000504182609174151,-0.051007340806859015,0.04999897558851071,0.025875820337847362,0.179556,0.034399,0.0,0.043010752688172046,0.0,0.0,0.07596920886512361,0.20061,0.05364894106592666,267.0,B_State_Raid,42,True,True,0.46462970535828396
200,0.4780945213079002,-0.46238978261830177,-0.6107313550381077,-0.3140482101984959,-0.1347706145135612,0.319454,0.300177,0.0,0.03496503496503497,0.0,0.0,0.030316041167752914,0.08948333333333332,0.03415468051970727,185.0,B_State_Raid,137,True,True,0.4780945213079002
200,0.46339736145725363,0.22276531598831617,0.13486751990945534,0.310663112067177,0.07515942505405546,0.213643,0.101051,0.0,0.016574585635359115,0.0,0.0,0.0734545438058018,0.23770000000000002,0.04851684627736308,291.0,B_State_Raid,271,True,True,0.46339736145725363
200,0.42258948695758036,0.03210112781885585,0.0642022556377117,0.0,0.007023317437365624,0.241076,0.517471,0.0,0.0,12.47973493057568,12.47973493057568,0.20382564102609527,0.19380000000000003,0.06309393250560502,178.0,C_Free_NoRaid,42,False,False,0.42258948695758036
200,0.49619277447708865,0.056713064022018936,0.11342612804403787,0.0,0.03777768437056155,0.216278,0.215436,0.0,0.0,4.195219658178331,4.195219658178331,0.20390629352710996,0.3777,0.06420657305994637,384.0,C_Free_NoRaid,137,False,False,0.49619277447708865
200,0.5284635284202521,0.0421139661303485,0.084227932260697,0.0,-0.08848014695148604,0.329451,0.4792,0.0,0.0,0.0,0.0,0.12760441679735582,0.29383333333333334,0.1321069130602719,115.0,C_Free_NoRaid,271,False,False,0.5284635284202521
200,0.480966647245355,-0.052831329032105065,-0.10566265806421013,0.0,-0.12362478982153279,0.237554,0.209165,0.0,0.0,2.7816004820194706,2.7816004820194706,0.05659076564873248,0.17428333333333332,0.040569523878854374,201.0,D_State_NoRaid,42,True,False,0.480966647245355
200,0.501482380110469,-0.3423368996025055,-0.684673799205011,0.0,0.02251691875482074,0.286421,0.06325,0.0,0.0,0.0,0.0,0.037472432729602496,0.25966,0.01895582947297636,326.0,D_State_NoRaid,137,True,False,0.501482380110469
200,0.46950997368646763,0.08933821749094653,0.17867643498189306,0.0,-0.027225523733792695,0.215784,0.036939,0.0,0.0,0.0,0.0,0.1319921040940295,0.34155,0.007911686741403301,238.0,D_State_NoRaid,271,True,False,0.46950997368646763
