year,coop_Free,coop_State,between_group_selection_coeff,demographic_selection_coeff,raid_selection_coeff,within_group_selection_coeff,fst_prosocial_mean,fst_cooperation_propensity,inter_band_violence_rate,cumulative_violence_rate,total_trade_volume,trade_volume,cumulative_trade_volume_per_band,mean_inter_band_trust,band_resource_gini,total_population,seed,migration_rate
100,0.4846889539917948,0.4722465932790437,0.0,-0.4321391328084587,0.4321391328084587,-0.07670834305634583,0.258354,0.278674,0.0,0.039473684210526314,3.995108633942662,3.995108633942662,0.07981817873827589,0.2051333333333333,0.0829729115376674,140.0,42,0.001
200,0.49349588282416434,0.4928512533408052,0.15237088586954933,0.1603851360479502,0.14435663569114848,-0.03266395828238182,0.382747,0.432037,0.0,0.027972027972027972,0.0,0.0,0.06021494484255501,0.15285,0.05481151073503687,212.0,42,0.001
100,0.5347074024980129,0.523225576434693,0.0016176432475472624,0.003235286495094525,0.0,-0.01538514049284043,0.182328,0.018142,0.0,0.0,0.0,0.0,0.04910978477384605,0.2359,0.04207831844198795,275.0,137,0.001
200,0.5212435270667451,0.5594842840140167,0.18934837900807452,0.43213110032302754,-0.053434342306878484,-0.0370179090852839,0.236559,0.136445,0.0,0.012422360248447204,0.0,0.0,0.06120340946709171,0.15971666666666667,0.057914661005340484,283.0,137,0.001
100,0.4518399688889665,0.45117987970622164,0.09808974999202401,0.35155124852040387,-0.15537174853635585,0.1564324772407345,0.197385,0.271779,0.0,0.024390243902439025,0.0,0.0,0.11895673404452549,0.25581666666666664,0.052672547924203394,214.0,271,0.001
200,0.431448496054214,0.45993760214190305,-0.0111849150576235,-0.022369830115247,0.0,0.17982779969445767,0.323141,0.427644,0.0,0.011904761904761904,2.292547561621464,2.292547561621464,0.12101899462234435,0.25165,0.04484653789895554,206.0,271,0.001
100,0.4846889539917948,0.4722465932790437,0.0,-0.4321391328084587,0.4321391328084587,-0.07670834305634583,0.258354,0.278674,0.0,0.039473684210526314,3.995108633942662,3.995108633942662,0.07981817873827589,0.2051333333333333,0.0829729115376674,140.0,42,0.005
200,0.49349588282416434,0.4928512533408052,0.15237088586954933,0.1603851360479502,0.14435663569114848,-0.03266395828238182,0.382747,0.432037,0.0,0.027972027972027972,0.0,0.0,0.06021494484255501,0.15285,0.05481151073503687,212.0,42,0.005
100,0.5347074024980129,0.523225576434693,0.0016176432475472624,0.003235286495094525,0.0,-0.01538514049284043,0.182328,0.018142,0.0,0.0,0.0,0.0,0.04910978477384605,0.2359,0.04207831844198795,275.0,137,0.005
200,0.5381150171592384,0.523934195240255,0.030679718155382105,0.06135943631076421,0.0,0.10369691571670679,0.127459,0.025002,0.0,0.00625,0.0,0.0,0.06541726831697436,0.17901666666666669,0.042915545710167535,199.0,137,0.005
100,0.43621840479359963,0.4617539422807301,0.02424163836660037,0.09510188173762131,-0.04661860500442057,-0.05647652489209566,0.157018,0.259914,0.0,0.03488372093023256,0.0,0.0,0.10152392549321688,0.21358333333333332,0.061680592143462665,205.0,271,0.005
200,0.4000907927265644,0.4539891418178666,0.008531578366409658,0.017063156732819315,0.0,0.12024983697498953,0.189498,0.314306,0.0,0.024691358024691357,0.0,0.0,0.07021530861213975,0.15305000000000002,0.09865127531230677,267.0,271,0.005
100,0.453201845453334,0.4827250153826429,0.07192260342007945,-0.005743703964279423,0.1495889108044383,-0.1130855978128526,0.241566,0.252957,0.0,0.05555555555555555,3.1807814251956024,3.1807814251956024,0.08117641254991331,0.1557,0.012326114650831332,163.0,42,0.01
200,0.4347887768515939,0.48943579120637937,0.060770430288184865,0.12154086057636973,0.0,-0.11204297875996028,0.306064,0.321959,0.0,0.051094890510948905,3.2734284635336217,3.2734284635336217,0.0688847013824723,0.14575,0.10356039588963184,222.0,42,0.01
100,0.5347074024980129,0.523225576434693,0.0016176432475472624,0.003235286495094525,0.0,-0.01538514049284043,0.182328,0.018142,0.0,0.0,0.0,0.0,0.04910978477384605,0.2359,0.04207831844198795,275.0,137,0.01
