year,coop_Free,coop_State,between_group_selection_coeff,demographic_selection_coeff,raid_selection_coeff,within_group_selection_coeff,fst_prosocial_mean,fst_cooperation_propensity,inter_band_violence_rate,cumulative_violence_rate,total_trade_volume,trade_volume,cumulative_trade_volume_per_band,mean_inter_band_trust,band_resource_gini,total_population,seed
50,0.48196175944841924,0.48913687639911996,0.07607869254519908,0.22119710060069955,-0.06903971551030137,0.0007130356714790953,0.111878,0.071715,0.0,0.02702702702702703,0.0,0.0,0.07917653667237219,0.23193333333333332,0.05543074946266602,155.0,42
100,0.4846889539917948,0.4722465932790437,0.0,-0.4321391328084587,0.4321391328084587,-0.07670834305634583,0.258354,0.278674,0.0,0.039473684210526314,3.995108633942662,3.995108633942662,0.07981817873827589,0.2051333333333333,0.0829729115376674,140.0,42
150,0.48943805822774367,0.49888457734695246,-0.013039255394541552,-0.026078510789083104,0.0,-0.12563153140988761,0.388743,0.494159,0.0,0.027777777777777776,0.0,0.0,0.06505280945636513,0.1671,0.0853191649105316,156.0,42
200,0.49349588282416434,0.4928512533408052,0.15237088586954933,0.1603851360479502,0.14435663569114848,-0.03266395828238182,0.382747,0.432037,0.0,0.027972027972027972,0.0,0.0,0.06021494484255501,0.15285,0.05481151073503687,212.0,42
50,0.5111915265321154,0.5272349316150955,-0.1829441205241574,-0.3658882410483148,0.0,0.04260823181120901,0.079598,0.031231,0.0,0.0,0.0,0.0,0.046297755010421326,0.25594999999999996,0.04831238797526427,235.0,137
100,0.5347074024980129,0.523225576434693,0.0016176432475472624,0.003235286495094525,0.0,-0.01538514049284043,0.182328,0.018142,0.0,0.0,0.0,0.0,0.04910978477384605,0.2359,0.04207831844198795,275.0,137
150,0.5237456589326499,0.522105077464572,0.03727068373154778,0.07454136746309556,0.0,-0.16278873253372145,0.12077,0.002327,0.0,0.008333333333333333,0.0,0.0,0.05838527746871691,0.1847,0.12329364589641645,332.0,137
200,0.5381150171592384,0.523934195240255,0.030679718155382105,0.06135943631076421,0.0,0.10369691571670679,0.127459,0.025002,0.0,0.00625,0.0,0.0,0.06541726831697436,0.17901666666666669,0.042915545710167535,199.0,137
50,0.46309148806018563,0.44269492156384393,0.16715499632793185,0.3343099926558637,0.0,0.06536557876130844,0.125822,0.06643,0.0,0.0,0.0,0.0,0.09937392715206746,0.30246666666666666,0.08577239368439349,214.0,271
100,0.43621840479359963,0.4617539422807301,0.02424163836660037,0.09510188173762131,-0.04661860500442057,-0.05647652489209566,0.157018,0.259914,0.0,0.03488372093023256,0.0,0.0,0.10152392549321688,0.21358333333333332,0.061680592143462665,205.0,271
150,0.4188003387066843,0.48851276280278366,0.05973571587570899,0.2386433720245931,-0.11917194027317511,0.15269801983489667,0.157705,0.361798,0.0,0.03225806451612903,0.0,0.0,0.08004238558001854,0.1860166666666667,0.0662268760376532,265.0,271
200,0.4000907927265644,0.4539891418178666,0.008531578366409658,0.017063156732819315,0.0,0.12024983697498953,0.189498,0.314306,0.0,0.024691358024691357,0.0,0.0,0.07021530861213975,0.15305000000000002,0.09865127531230677,267.0,271
50,0.5091296668663251,0.47696286767951185,0.11563816608434574,0.23127633216869148,0.0,0.030128553640928375,0.200022,0.118042,0.0,0.020833333333333332,0.0,0.0,0.10244000833909286,0.26245,0.023390371193009463,255.0,512
100,0.5179593695479437,0.48629538913317794,0.2393073651394702,0.6557516064457705,-0.17713687616683005,-0.14370455905144558,0.249057,0.189748,0.0,0.07142857142857142,0.0,0.0,0.06599551671134692,0.10538333333333333,0.07847340989616991,225.0,512
150,0.5118070627661369,0.4925900334138905,0.11037518544805852,-0.09506785047105304,0.3158182213671701,-0.03390726503395019,0.347086,0.322796,0.0,0.07079646017699115,0.0,0.0,0.05880887107820269,0.08423333333333333,0.0434424464436598,271.0,512
200,0.5208026946046234,0.533908464508428,-0.16718271587015765,-0.3343654317403153,0.0,0.07489870587999506,0.379629,0.346119,0.0,0.05228758169934641,15.848600897187325,15.848600897187325,0.03777438778515342,0.22153,0.05939955005607911,355.0,512
50,0.5362696338372032,0.5140127111292584,0.03142789012319214,0.06285578024638427,0.0,-0.03564478409764915,0.217013,0.026798,0.0,0.0,1.6319989577666274,1.6319989577666274,0.06629380346822643,0.27035,0.03881475352914143,197.0,999
100,0.5287439131308802,0.4941970003346372,-0.3018994454900298,-0.6037988909800596,0.0,-0.033003999557198085,0.244438,0.160808,0.0,0.0,0.0,0.0,0.07423855764193313,0.2262666666666667,0.06404904627935681,177.0,999
150,0.5176786244621079,0.48280555975695094,-0.23557961529658578,-0.47115923059317155,0.0,-0.1679353995038062,0.309659,0.179927,0.0,0.0,0.0,0.0,0.057335737104567505,0.17525000000000002,0.07750982200692258,171.0,999
200,0.5153351657465945,0.4899672387414909,0.20321695969107734,0.4064339193821547,0.0,0.0910544083075108,0.205089,0.062382,0.0,0.0,0.0,0.0,0.04618528576030133,0.14193333333333333,0.11740912632085698,267.0,999
50,0.5571214779499771,0.5089862298779575,0.015492553324564548,0.24380095288160963,-0.21281584623248054,-0.0015017625290859593,0.315632,0.306584,0.0,0.022727272727272728,0.0,0.0,0.06316305519146435,0.25379999999999997,0.08645566456647069,162.0,1337
100,0.5890130793091581,0.5168229050649275,-0.07372639322666291,-0.22478630446342712,0.0773335180101013,0.10784359915707847,0.454792,0.501209,0.0,0.03409090909090909,3.5721765216117216,3.5721765216117216,0.06636670517789314,0.18026666666666666,0.12041484112137302,177.0,1337
150,0.5910429640992656,0.526703136444418,0.16044473319370256,-0.014161278946055095,0.33505074533346024,-0.03956447724652261,0.4943,0.468025,0.0,0.02962962962962963,0.0,0.0,0.06231325758632025,0.16884999999999997,0.0742874916764209,295.0,1337
200,0.5440713461999306,0.5895255463873849,-0.13884714604404402,-0.27769429208808805,0.0,-0.03769990810579931,0.530658,0.513242,0.0,0.02358490566037736,0.8096486095724486,0.8096486095724486,0.05743567820271729,0.3004,0.08633252970134198,411.0,1337
