seed,final_population,total_births,total_deaths,total_conflicts,avg_resource_gini,avg_violence_rate,avg_reproductive_skew,avg_unmated_male_pct,avg_child_survival,avg_aggression,avg_cooperation,equilibrium_reached,scenario,n_seeds
43.0,873.0,8202.3333,7302.3333,10320.0,0.1339,0.0547,0.5246,0.3876,0.7611,0.4915,0.509,0.0,FREE_COMPETITION,3
43.0,968.0,9230.6667,8377.6667,8015.0,0.1356,0.0352,0.4836,0.2147,0.7395,0.506,0.5051,0.0,ENFORCED_MONOGAMY,3
43.0,1658.3333,12144.3333,10278.6667,14706.3333,0.9717,0.0572,0.5446,0.3959,0.8465,0.5086,0.5209,0.0,ELITE_POLYGYNY,3
43.0,1040.3333,8583.6667,7508.3333,10649.0,0.1334,0.0537,0.5255,0.3991,0.7681,0.483,0.5141,0.0,HIGH_FEMALE_CHOICE,3
43.0,1900.3333,15568.6667,13404.0,15446.6667,0.1265,0.0461,0.5265,0.3789,0.7893,0.4972,0.5037,0.0,RESOURCE_ABUNDANCE,3
43.0,29.3333,1168.0,1576.3333,2203.3333,0.1302,0.0673,0.5446,0.4263,0.6107,0.4857,0.4978,0.0,RESOURCE_SCARCITY,3
43.0,33.6667,1878.6667,2156.0,1435.6667,0.1263,0.0428,0.5494,0.395,0.842,0.4749,0.5215,0.0,HIGH_VIOLENCE_COST,3
43.0,891.0,8692.6667,7745.6667,11112.3333,0.1347,0.0555,0.5362,0.3589,0.7929,0.5003,0.5076,0.0,STRONG_PAIR_BONDING,3
