scenario,final_population,final_population_std,total_births,total_births_std,total_deaths,total_deaths_std,total_conflicts,total_conflicts_std,resource_gini,resource_gini_std,reproductive_skew,reproductive_skew_std,violence_rate,violence_rate_std,violence_death_frac,violence_death_frac_std,pair_bonded_pct,pair_bonded_pct_std,unmated_male_pct,unmated_male_pct_std,avg_lifetime_births,avg_lifetime_births_std,child_survival,child_survival_std,bond_dissolution,bond_dissolution_std,avg_lifespan,avg_lifespan_std,pop_growth_rate,pop_growth_rate_std,avg_cooperation,avg_cooperation_std,avg_aggression,avg_aggression_std,avg_intelligence,avg_intelligence_std,law_strength,law_strength_std,civilization_stability,civilization_stability_std,social_cohesion,social_cohesion_std,n_survived,n_seeds
FREE_COMPETITION,588.2,210.89940730120605,18004.5,2101.1715898517186,17211.5,2071.191746314184,5187.3,1026.548006670901,0.37421826370946587,0.012679396061829901,0.4547505954178388,0.01488582942164138,0.010295220133330112,0.003668064168486169,0.03830051848441546,0.004764035737079837,0.3876251273451588,0.02703680542613026,0.2624928791090766,0.023253425576318376,3.98983274266634,0.4277312980594394,0.6613691267299936,0.011242521163744485,0.105436850592985,0.005449790979928093,18.197477315919503,1.8718851771532257,-0.005190359016269133,0.016231719463349413,0.5244488875260052,0.020882050245540074,0.4531969908078704,0.015407841952266244,0.6312811225079302,0.017759610555454105,0.926705547844897,0.03618875533937889,0.7580531179098516,0.01697058430120862,0.5825793244145449,0.01147805021127998,10,10
STRONG_STATE,668.5,277.2166120563485,18676.5,1101.6152912882064,17917.9,1088.9757067997432,3055.9,324.8613396512426,0.22659477915625362,0.01371082552114223,0.3933535752449811,0.018902566527351526,0.008925589562492448,0.002818506137484206,0.021282982127732546,0.0023590675566615535,0.43073292790704254,0.02016247531579402,0.11907304810275599,0.09120992568785506,3.645708021550258,0.4954386331565049,0.6447526782567526,0.009825012895351695,0.10992414983820212,0.0048202608837451194,19.438835774536578,2.463556805338457,-0.005272030796278491,0.01731223732328108,0.5087935963808945,0.013074870565187694,0.46530862422332386,0.02364023911581143,0.6091868529128237,0.021542146576320108,1.0,0.0,0.7866081887293024,0.024359445428265573,0.5931169763667071,0.005477722533717453,10,10
EMERGENT_INSTITUTIONS,685.1,123.5042104545428,19043.0,1260.955986543543,18098.6,1209.7555290222897,3898.0,500.8524732892911,0.3837862464106769,0.010035117864958996,0.45340608157015777,0.019739217233998015,0.006533841638706116,0.0015023382571996285,0.027740584973724565,0.0020660003333781833,0.3715632925813962,0.014237753092776013,0.26293016739626796,0.02448063014883384,4.275585055082075,0.22352692171620522,0.6640754820675386,0.01193012645339285,0.1105219285468684,0.0031338101395476294,17.282809346277162,1.280648746321545,0.005630791895675588,0.009456443148098018,0.5234745634862522,0.015391267082326675,0.4394445355926996,0.018819435497558358,0.6400407389576592,0.01909856447741528,1.0,0.0,0.7768117258432878,0.00967689491524751,0.581269675749607,0.004413724444496512,10,10
