year,population,males,females,births,deaths,infant_deaths,conflicts,bonds_formed,bonds_dissolved,resource_gini,status_gini,reproductive_skew,mating_inequality,unmated_male_pct,unmated_female_pct,elite_repro_advantage,child_survival_rate,pair_bonded_pct,violence_rate,pop_growth_rate,avg_resources,avg_status,avg_health,avg_age,avg_aggression,avg_cooperation,avg_lifespan,scarcity,civilization_stability,social_cohesion,seed,scenario
11,963,476,487,51,24,6,53,22,7,0.30388628287136,0.20368600861422426,0.3768837992076244,0.41064730792498483,0.3505747126436782,0.2057142857142857,764.7058823529412,0.8947368421052632,0.2616822429906542,0.055036344755970926,0.02446808510638298,5.480990495682156,0.7570097840836187,0.7801152647975078,17.023883696780892,0.5080806442621415,0.5000197212761717,26.708333333333332,0.0,0.6940728583730686,0.472801242612234,42,FREE_COMPETITION
12,983,485,498,49,28,7,59,16,5,0.281639703746581,0.1943342562318393,0.36409900322757927,0.41139216575922566,0.3275862068965517,0.17751479289940827,817.6470588235293,0.875,0.26042726347914547,0.06002034587995931,0.020768431983385256,6.054928710175709,0.7692241469764579,0.7670274669379449,16.93591047812818,0.5089192651464507,0.4999724168256257,26.285714285714285,0.0,0.6822240619360018,0.4661130765980021,42,FREE_COMPETITION
13,1002,497,505,48,25,6,59,15,10,0.27233329818468,0.18820033733010844,0.3494541883621085,0.4001453961087411,0.3652694610778443,0.19254658385093168,273.0,0.8888888888888888,0.23552894211576847,0.05888223552894212,0.019328585961342827,6.169771799999834,0.7776311881454754,0.7552375249500998,16.7375249500998,0.5071862317342102,0.5007574045798457,31.44,0.0,0.6840901365705812,0.45913529716127965,42,FREE_COMPETITION
14,1007,504,503,36,29,6,48,14,10,0.2652751028155851,0.1743613447281529,0.34595805898301313,0.3903638536747851,0.34782608695652173,0.21656050955414013,903.2258064516129,0.8571428571428571,0.22641509433962265,0.047666335650446874,0.00499001996007984,5.195671522591451,0.7938176389343166,0.7427308838133067,16.872889771598807,0.5072812547224342,0.5021050352444176,27.79310344827586,0.0,0.6786834743579502,0.47050437755357644,42,FREE_COMPETITION
15,1011,501,510,35,29,9,49,17,10,0.2511392199044089,0.16487797257536263,0.4240249514265262,0.4402230022713194,0.40718562874251496,0.33879781420765026,934.2857142857143,0.7954545454545454,0.2176063303659743,0.04846686449060336,0.003972194637537239,4.97842499944868,0.8054684726485177,0.7316834817012857,16.874381800197824,0.5092077967376457,0.5019959978956011,32.689655172413794,0.0,0.6625486398392829,0.4663770341730773,42,FREE_COMPETITION
16,1006,495,511,41,41,2,62,33,3,0.24641597143903993,0.16374447831586125,0.4717809268479509,0.4901871291647648,0.3485714285714286,0.30303030303030304,956.7567567567568,0.9534883720930233,0.2504970178926441,0.061630218687872766,-0.004945598417408506,4.431708445458118,0.8078054738689889,0.7229095427435386,16.720675944333998,0.5098598550649125,0.5021694572936355,30.048780487804876,0.0,0.6792725249701268,0.4615039658200387,42,FREE_COMPETITION
17,1014,502,512,41,27,8,83,41,11,0.25938931327747916,0.16373273843197023,0.5283039173482567,0.5502255154639175,0.37628865979381443,0.2904761904761905,972.5,0.8367346938775511,0.26627218934911245,0.08185404339250493,0.007952286282306162,3.2189761844850873,0.8083738341929244,0.7079437869822484,16.56114398422091,0.5103985303926928,0.5024152527858075,37.22222222222222,0.0,0.6324178604098076,0.44184381314588117,42,FREE_COMPETITION
18,1005,497,508,31,36,19,80,41,10,0.2534114519754058,0.15341951683823507,0.5736227419319229,0.5971876112495549,0.3632075471698113,0.23255813953488372,1007.1428571428571,0.62,0.29850746268656714,0.07960199004975124,-0.008875739644970414,2.6279999540456145,0.8184669159944377,0.6651974575230369,16.567164179104477,0.5090092307932839,0.503651636469447,31.02777777777778,0.8344131074410553,0.5708151042883066,0.4564357789658883,42,FREE_COMPETITION
19,989,486,503,24,38,28,81,41,14,0.25652837370702186,0.1427050713992497,0.6073928625326914,0.6420116514456138,0.3918918918918919,0.2183406113537118,1000.0,0.46153846153846156,0.31749241658240646,0.08190091001011122,-0.015920398009950248,1.9874893390974073,0.8291907395184412,0.6198885825176451,16.514661274014156,0.5096716405347034,0.5034400052375552,34.05263157894737,0.8702707256363373,0.5229310401054549,0.4601222103862253,42,FREE_COMPETITION
20,982,478,504,36,40,31,58,43,7,0.20503339849043578,0.1427036416587233,0.6232681627995436,0.6466821843706265,0.3333333333333333,0.2145748987854251,1042.5531914893616,0.5373134328358209,0.3543788187372709,0.059063136456211814,-0.007077856420626896,3.8978046606928647,0.8319132649908196,0.5898024890070852,16.522403258655803,0.5108144035053643,0.503576932216895,27.45,0.8390855476317768,0.600805940216514,0.5016344388745381,42,FREE_COMPETITION
