year,population,males,females,births,deaths,infant_deaths,conflicts,bonds_formed,bonds_dissolved,resource_gini,status_gini,reproductive_skew,mating_inequality,unmated_male_pct,unmated_female_pct,elite_repro_advantage,child_survival_rate,pair_bonded_pct,violence_rate,pop_growth_rate,avg_resources,avg_status,avg_health,avg_age,avg_aggression,avg_cooperation,avg_lifespan,scarcity,civilization_stability,social_cohesion,seed,scenario
12,960,466,494,48,30,2,26,16,12,0.2761820616124775,0.18948525934656346,0.3527150145772593,0.3531810766721044,0.18674698795180722,0.20903954802259886,744.1176470588235,0.96,0.2864583333333333,0.027083333333333334,0.015873015873015872,6.0530782623521455,0.7765337090266029,0.79041875,17.684375,0.5130690676160381,0.5040072857840522,27.0,0.0,0.7529803535505203,0.5180091643136209,42,ENFORCED_MONOGAMY
13,967,464,503,41,32,4,31,17,11,0.27470046107206514,0.1789049267187104,0.3415562844968376,0.340423719791334,0.1870967741935484,0.2556818181818182,51.6,0.9111111111111111,0.265770423991727,0.03205791106514995,0.007291666666666667,4.980069361081962,0.7892262234349945,0.7790796277145811,17.693898655635987,0.5131809689345893,0.5034200357878418,25.15625,0.0,0.7219080492310654,0.5043152738808037,42,ENFORCED_MONOGAMY
14,977,472,505,40,27,9,32,21,14,0.2647210016240371,0.1727047752610833,0.3319516248153618,0.3257227877503397,0.16778523489932887,0.2573099415204678,29.444444444444443,0.8163265306122449,0.2569089048106448,0.032753326509723645,0.010341261633919338,4.620484103067658,0.7971231694854449,0.7700870010235412,17.535312180143297,0.5136872488129253,0.5029143609578076,35.44444444444444,0.0,0.7008850399191844,0.5001422029296942,42,ENFORCED_MONOGAMY
15,974,472,502,33,35,9,29,20,12,0.2650530635596602,0.16209508211490675,0.4089785136800177,0.4073226993865031,0.24539877300613497,0.32972972972972975,855.8823529411765,0.7857142857142857,0.2535934291581109,0.029774127310061602,-0.0030706243602865915,3.2970259644028896,0.8084596389557761,0.7603767967145789,17.458932238193018,0.5140790550396941,0.5025693564241608,32.4,0.0,0.683725157764977,0.502567783637426,42,ENFORCED_MONOGAMY
16,965,469,496,22,28,20,45,30,5,0.26151517471540364,0.14654289599713444,0.46970958430324217,0.4550176834659594,0.1896551724137931,0.3253588516746411,868.421052631579,0.5238095238095238,0.2922279792746114,0.046632124352331605,-0.009240246406570842,2.543654756448905,0.8245630948637782,0.7194574243552521,17.552331606217617,0.5151263559283539,0.5016427099872549,36.42857142857143,0.8312464765865828,0.5932951099654238,0.4946467213006015,42,ENFORCED_MONOGAMY
17,949,465,484,21,35,22,47,35,12,0.24371105869326115,0.1360345224806323,0.5136125505583633,0.5010323706513007,0.1925133689839572,0.3105022831050228,887.5,0.4883720930232558,0.31822971548998946,0.04952581664910432,-0.016580310880829015,2.344754858058492,0.8358954571084679,0.6822945111342497,17.585879873551107,0.5152014357429806,0.5009449680483018,34.57142857142857,0.7341625228460302,0.5802162329861748,0.4998511168294366,42,ENFORCED_MONOGAMY
18,937,463,474,29,36,17,57,35,3,0.23034935456228056,0.13401718660142858,0.54282477458603,0.5426030302297264,0.19900497512437812,0.26576576576576577,902.3809523809524,0.6304347826086957,0.3457844183564568,0.060832443970117396,-0.012644889357218124,2.4399893547339566,0.8390403577851374,0.644496039584519,17.516542155816435,0.5144909094645579,0.5012939792956459,33.111111111111114,0.8229226508875702,0.609512932180792,0.4955015831803715,42,ENFORCED_MONOGAMY
19,935,461,474,25,27,24,29,37,11,0.1943875334954206,0.13116654668303274,0.5726790993559285,0.5741492852389805,0.2146118721461187,0.24568965517241378,906.6666666666666,0.5102040816326531,0.3711229946524064,0.031016042780748664,-0.0021344717182497333,4.2930731111501865,0.8451516473772928,0.6156479845462477,17.450267379679143,0.5143198652739992,0.5021117593188982,39.22222222222222,0.8253644269772541,0.6456834270175674,0.5419676983799657,42,ENFORCED_MONOGAMY
20,952,466,486,60,41,15,34,42,11,0.22435195368656013,0.16060332803226784,0.5793302214842895,0.5847658274842742,0.2077922077922078,0.20851063829787234,941.3043478260869,0.8,0.38760504201680673,0.03571428571428571,0.01818181818181818,4.369684331237184,0.8181121291372015,0.626473804386878,16.699579831932773,0.5127149586987738,0.5045528007296466,32.4390243902439,0.0,0.7278807551755986,0.5428400278548838,42,ENFORCED_MONOGAMY
21,977,478,499,46,20,16,28,41,13,0.2406710277683035,0.16720308440354859,0.5825597195578698,0.5801063313140606,0.18518518518518517,0.20080321285140562,955.1020408163266,0.7419354838709677,0.406345957011259,0.028659160696008188,0.026260504201680673,3.9839088244249643,0.8129971902070915,0.6265244033043897,16.65711361310133,0.5144948232564694,0.5042928992330329,28.85,0.0,0.7315733221234384,0.5581142937771435,42,ENFORCED_MONOGAMY
